P30615	Pyruvate kinase 1
Q41560	Heat shock protein 16.9B
Q13002	Excitatory amino acid receptor 4
Q9BXB1	G protein coupled receptor 48
K7WDL7	Iridoid synthase
A5ZKV7	putative glucoamylase
O53706	MOCA RELATED PROTEIN
P52644	Heat shock protein HslJ
Q5NFX0	Transaldolase
Q9KDE1	O methyltransferase
Q3M6F6	XisI protein like
Q87J40	uncharacterized protein VPA0413
P46014	Protein ROOT ATTENUATED GROWTH 1
P46013	Antigen KI 67
P98072	Transmembrane protease serine 15
Q9NPG2	Neuroglobin
O94979	Web1 like protein
P42773	p18 INK4c
Q5CR09	farnesyl pyrophosphate synthase
P42771	p16 INK4a
Q9KZF5	Cytochrome P450 CYP158A1
P98078	disabled homolog 2
Q38151	replisome organizer
P42778	Aminopeptidase T
O57286	Nucleoprotein
P9WP01	Inosine guanosine phosphorylase
Q5SLM3	TthCP1
G0SGM0	Snu13
Q30V07	dTDP Sugar Isomerase
Q72V39	Ig like repeat domain protein 1
P15436	DNA polymerase III
Q04609	Glutamate carboxypeptidase II
P84193	Pyranosone dehydratase
P28834	NAD+ specific ICDH
Q9WZU6	Response regulator
Q9WZU0	Cell division protein FtsA
A6LE66	Aminopeptidase C
Q8WV16	WD repeat containing protein 21A
P0AEX9#Q05086	MMBP
Q6D355	Integrase
Q8ZP25	putative chaperone
Q189K3	Toxin B
Q02608	bS16m
Q9J5U5	GM CSF IL 2 inhibition factor
P62558	protein SopB
Q9D0J4	arf like protein 2
A0A0H3C8J1	S layer protein rsaA
A0A0H2UR89	putative NADH flavin reductase
O96193	Rab5 protein putative
P62552	Antitoxin CcdA
P62553	Protein CcdA
P62554	Protein LetD
A6T8J6	Putative O methyltransferase
B5Z8I0	Alpha carbonic anhydrase
A0A0H2WXT1	Exotoxin 5
B3LB24	Nucleosome assembly protein 1
O27255	UPF0045 protein MTH_1187
P11438	P2B
L7V1I2	Beta lactamase
P19221	Thrombin
G3CEP6	Rhodopsin I
O27252	8.3 KDA Protein GENE MTH1184
P11433	Calcium regulatory protein
Q6XK91	M157
P11436	Aliphatic amidase
Q5LF10	uncharacterized protein
O46790	MHC class I alpha chain 2
Q4QH17	Putative aminopeptidase
Q08G54	Protective antigen
O81934	CLASS II CHITINASE
Q6TGC4	Peptidylarginine deiminase VI
Q9Y2K5	Hypothetical KIAA1002 protein
Q9Y2K6	Deubiquitinating enzyme 20
Q9Y2K7	F box LRR repeat protein 11
Q313A9	Peptidase M20 M25 M40 family
A4VVI4	D mannonate hydro lyase
Q5NE80	Tryptophan synthase alpha chain
Q9VKJ9	Lethal giant disks protein
P50091	Peroxin 21
Q8DJZ6	PSII 4.4 kDa protein
O67099	dTMP kinase
P49891	Sulfotransferase 1E1
Q6FJE0	Exoribonuclease II mitochondrial
P20480	Kinesin 14 NCD
Q08162	Chromosome disjunction protein 3
Q6TFC4	QdtB
Q6TFC5	QdtA
Q13586	Stromal interaction molecule 1
O95750	Fibroblast growth factor 19
O52942	PROTEIN L Alanine dehydrogenase
Q81IM3	Polysaccharide deacetylase
G9EPL4	Putative uncharacterized protein
Q5ZYC6	IcmO DotL
O35820	c Myc responsive protein Rcl
Q8Q7Z9	ENVELOPE GLYCOPROTEIN GP120
L0HR89	Hemagglutinin HA2 chain
Q585M6	Sulfhydryl oxidase
P36680	Z ring associated protein D
Q5ZYC9	IcmR
Q81D71	Collagen adhesion protein
Q7ZB17	Vpx protein
A0NA69	FV E5.2
P46006	Protein AggB
O00268	TBP associated factor 4
O00267	Tat cotransactivator 1 protein
Q84AR1	methionine gamma lyase
Q9IY15	Genome polyprotein
A0A0H3KDL9	Pyridoxal kinase PdxY
Q81TL8	Tryptophan synthase beta chain
P03460	Hemagglutinin HA2 CHAIN
O82777	Subtilisin like protease
C0H4H3	60S ribosomal protein eL39
P59113	Unc 112 related protein 1
B7NGD4	30S ribosomal protein S6
Q9NQ50	mL40
P56552	Brazzein
P56556	Complex I B14
O59393	Alpha IPM isomerase
Q8KRU6	Acid phosphatase
Q9X6W9	PROTEIN Superoxide dismutase
Q9A6J2	SspB protein
Q3JSB1	Uncharacterized protein
B3VQP5	Polymerase
P10451	Uropontin
P60174	Triosephosphate isomerase
P24337	Hydrophobic seed protein
F4F7F5	AbyA5
B0ZE32	TRIMCYP
P60179	Delta conotoxin Am2766
F4F7F9	3 oxoacyl ACP synthase III
Q8NTZ2	uncharacterized protein Cgl0159
Q44529	MOLYBDENUM BINDING PROTEIN
Q811U4	Mitofusin 1
O83795	desulfoferrodoxin rbo
Q00511	Uricase
Q811U3	Rab6 interacting protein 2
P28481	J1 EPITOPE
P28482	ERK2
Q68CN4	AD 2
Q09490	Protein lgg 1
Q5E4K9	Acetyltransferase
Q6VAK4	OsAHP2
P10565	Strains 1593 2362
Q9UIB8	SLAM family member 5
I0E093	GLYCOPROTEIN
P17931	Galectin 3
P0A8I8	Hypothetical protein ybeA
Q5L3C9	GAR transformylase
O81488	PHD finger family protein
Q5L3C7	GARS
P0A8I5	tRNAm7G46 methyltransferase
P0A8I3	UPF0246 protein YaaA
P0A8I1	Hypothetical protein yqgF
P9WI55	Inorganic pyrophosphatase
Q9L5A4	Extracellular serine protease
P24480	S100 calcium binding protein A11
P24481	Phenylalanine ammonia lyase 1
R9RX81	Beta 13 14 glucanase
O32218	Thiol disulfide oxidoreductase D
Q9I4X3	Anthranilate CoA ligase
A9CIE0	Hypothetical protein Atu2016
Q46803	transcarbamylase
A0JD37	T CELL RECEPTOR
P28159	RBP J kappa
Q9RNB4	McyF
Q18PE0	Protein Dok 7
Q84EX5	R alcohol dehydrogenase
Q40313	Caffeoyl CoA O methyltransferase
Q8I8I2	Fructose bisphosphate aldolase
Q40316	Vestitone reductase
Q6P1C1	Ins13456P5 2 kinase
Q2YMA4	arsenate reductase
P35625	Protein MIG 5
P27683	ribosomal protein L24
Q8ZXP5	FORMATE DEHYDROGENASE
Q9PIH3	Phosphoserine aminotransferase
O08398	Cell division protein FtsZ
P32939	GTP binding protein YPT7P
Q9UHD9	Ubiquitin like Protein hPLIC 2
Q9UHD8	septin 9
A6XNC5	Glycosyltransferase
A6XNC6	UDP glycosyltransferase 78G1
Q5FJ32	Ribose operon repressor
Q9UHD2	T2K
Q9UHD1	CHORD containing Protein 1
Q9UHD0	Interleukin 19
Q31135	H2 Ab1 protein
Q9UHD4	Cell death activator CIDE B
Q7W0A0	Putative exported protein
A7Z470	MlnA
Q2FW06	50S ribosomal protein L3
Q7W0A9	uncharacterized protein
A7Z473	MlnD
B4EKM5	PUTATIVE ENOYL COA HYDRATASE
P9WPA5	Dephospho CoA pyrophosphorylase
O04998	Glutamine synthetase
P9WPA7	Pantothenic acid kinase
P61992	30S ribosomal protein S4
P17480	Autoantigen NOR 90
D3Z7P3	Glutaminase C
P0AEK4	Enoyl reductase
Q24WL3	Uncharacterized protein
Q5SH92	SufC protein
P0AEK0	Exodeoxyribonuclease X
Q7X9K4	40S ribosomal protein S28E
P0AEK2	Beta ketoacyl [ACP] reductase
P26222	Endo 14 beta D glucanase
Q8ZKQ1	sugar transport protein
P26221	Endoglucanase E 4
Q8U2Y3	Uncharacterized protein PF0695
Q7DDD9	Transcriptional regulator
A6LFX0	PUTATIVE SUGAR HYDROLASE
O59800	Pre mRNA splicing factor cwf5
D5DKI8	Cytochrome P450
Q9GJT3	CDw150
Q8N157	Jouberin
A0A0H2YS52	Hydrolase NUDIX family
Q99P72	Neurite outgrowth inhibitor
Q7WRZ5	Cif Cell cycle inhibiting factor
Q1QUN0	Glucarate dehydratase
P40149	Oxalyl CoA decarboxylase
P59936	Ts6
P23760	Paired box protein Pax 3
Q9NYK5	mL39
A9CH39	photolyase
Q45403	SpaI
P0ADK6	Protein YibA
Q9BQE4	Selenoprotein S
O09114	Prostaglandin H2 D isomerase
O09110	MAPK ERK kinase 3
Q186H8	Putative lipoprotein
Q8I2F2	PHIST
O09118	Netrin 1
Q3UH53	Protein sidekick 1
Q65XY8	MHC class I antigen
Q99439	Calponin 2
Q9Q0P0	Matrix protein 2
P37412	3 IPM DH
Q9ZVD0	Serrate RNA effector molecule
P30996	Bontoxilysin F
O76071	protein CIAO1
O31742	50S ribosomal protein bL19
P9WFY1	Tryptophan synthase alpha chain
Q8R2Q8	Bone marrow stromal antigen 2
Q2RUX7	Carbohydrate kinase FGGY
Q8DTT9	Ribose 5 phosphate isomerase A
Q9KWN0	Actinohivin
Q54873	Hyaluronidase
A3D7B7	Protein of unknown function
Q8AVA4	pseudechetoxin
Q8AVA3	pseudecin
Q9HTY7	hypothetical protein PA5202
A1YYW7	Alkaline phosphatase PhoK
Q82S91	Metal binding protein SmbP
E9BCX6	ribosomal protein eL39
P22418	Fructose 16 bisphosphatase
Q6GUF4	Formin binding protein 1 like
P22415	Upstream stimulatory factor 1
P22414	3R hydroxyacyl CoA dehydrogenase
P22411	T cell activation antigen CD26
Q9HRE7	Uncharacterized protein
D3W0F1	Receptor Binding Protein
Q96L73	H4 K20 HMTase
B1M0X3	GLUTATHIONE S TRANSFERASE
Q2YYL4	30S ribosomal protein S5
A0A0H3B1Q8	Cycle Inhibiting Factor
Q57X73	Nucleoside hydrolase putative
Q86QZ1	A type flavoprotein
A0QPL3	Periplasmic binding protein
A0QPL0	Allophanate hydrolase subunit 2
A0QPL1	Allophanate hydrolase subunit 1
Q5HEB7	D alanylalanine synthetase
Q39VV7	Thioredoxin family protein
Q8YGB8	GAR transformylase
P75745	Uncharacterized protein YbgK
P75746	UPF0271 protein YbgL
P75742	Dipeptide permease D
M5QNE2	Exodeoxyribonuclease III
Q5SJR1	Triosephosphate isomerase
Q9WYF6	Heavy metal binding protein
P31713	TRYPSIN inhibitor
A5U2S7	Dethiobiotin synthase
Q9W5R8	60S ribosomal protein L5
P31719	Leiurotoxin I like toxin P05
Q8QN43	CPXV018 protein
P0C2V9	SycT
Q55385	Ycf65 like protein
Q9Y4E5	Zinc finger protein 451
P80870	General stress protein 13
P80874	AKR11B
O66511	Ferredoxin [2FE 2S]
B6AA20	LEUCYL TRNA SYNTHETASE
Q53VU8	CAS6B
Q59931	Triosephosphate dehydrogenase
P00720#P0ABE7#P55085	G protein coupled receptor 11
P18868	Superoxide dismutase
Q9P0J0	Complex I B16.6
Q9P0J6	BRCA1 interacting protein 1
P77425	Allantoate amidohydrolase
P0A1K9	Spa33 protein
Q9PIC1	OMP decarboxylase
P71119	Heme oxygenase
Q02880	DNA topoisomerase 2 beta
P42924	50S ribosomal protein L23
Q5SIP8	Formyl FH4 hydrolase
O43614#Q9V2J8	O43614:
Q9NPF0	CD320 antigen
Q5SIP7	Oxaloacetate decarboxylase
Q53971	FIBRONECTIN BINDING PROTEIN
Q5SIP1	5' nucleotidase
Q8Y5E5	Lmo2119 protein
P01026	PROTEIN Complement C3DG
P01024	Complement C3b
P01023	alpha 2 macroglobulin
Q99X56	Heme degrading monooxygenase 2
P42920	50S ribosomal protein L3
U5Q3T2	PbtD
Q8ZMX9	L aspartate oxidase
P06030	Oxidase aa3 subunit 3
O48917	Sulfolipid biosynthesis protein
P03775	Gene product 0.3
P08506	Penicillin binding protein 6
P08505	B cell hybridoma growth factor
Q80TJ7	Histone lysine demethylase PHF8
A0QQ43	Pe family protein
Q91AV1	Spike glycoprotein
P18283	Glutathione peroxidase 2
Q72MQ6	cGMP specific phosphodiesterase
P43555	47 kDa endomembrane protein
P43558	Ubiquitin thioesterase OTU1
P96320	RcsB
P0DJH6	Centromere protein W
P0DJH7	CENP X
Q9JFS0	EVM001
P42208	Septin 2
Q02440	Myosin 5A
P42206	D Glucarate dehydratase
P45251	KDO 8 phosphate synthase
Q09LX0	beta D xylosidase
Q09LX1	Acetylxylan esterase
P76461	Acetyl CoA acetyltransferase
P11609#P15813	R3G1
A7M003	uncharacterized protein
D2PUG5	GCN5 related N acetyltransferase
P41958	Apoptosis regulator ced 9
A0A0H3C5N2	Beta galactosidase
P18139	clone12 TCR beta chain
P18138	Hl30
Q4Q3K2	Ascorbate peroxidase
A6T6R4	LD transpeptidase
P19424	Endo 14 beta glucanase
P19429	Troponin I cardiac muscle
P32411	La
P07850	Sulphite oxide
P07851	AsC E 1
Q8N6P7	ZcytoR11
P15731	Ubiquitin protein ligase 4
P07854	Acyl carrier protein
P15737	Beta 13 endoglucanase GII
P02829	heat shock protein HSP82
P07858	PROCATHEPSIN B
O38896	Protease
P37554	Stage V sporulation protein T
P02820	Osteocalcin
F1SU66	MITORIBOSOMAL PROTEIN US5M MRPS5
Q8VTT5	D hydantoinase
Q91WP6	Serine protease inhibitor A3N
Q6N0R4	4 oxalomesaconate hydratase
Q7WY73	Uncharacterized protein YizA
A4ZKL5	PVI
Q9PNC0	Arginine tRNA ligase
Q58152	Uncharacterized protein MJ0742
P00083	PROTEIN Cytochrome c2
P00080	Cytochrome c2
Q4Q5L3	Ubiquitin carrier protein 4
D0KRX8	Uncharacterized protein
O28770	AF1502
B3RFR8	Hydramacin 1
P04506	Cell attachment protein
A0A1B4TPS8	3 ketoacyl ACP reductase
P04501	Protein IV
Q63342	ME2GLYDH
P15085	Carboxypeptidase A1
P15086	Carboxypeptidase B
P04509	VIRAL capsid VP6
A1XQR0	Protease VP4
Q81XJ1	Acyl CoA dehydrogenase
Q87LX4	ENDOGLUCANASE
Q3ITX1	Halorhodopsin
Q81QR8	2R3S 2 methylisocitrate lyase
Q9VUX3	Protein wingful
Q96BI3	Gamma secretase subunit APH 1A
Q9Y7J4	Arp2 3 complex 21 kDa subunit
Q4KBL6	Hypothetical protein DUF1348
H7C785	Beta lactamase
B0RM05	Diguanylate cyclase
O15372	eIF3 p40 subunit
P82804	Partner of Y14 and mago
P82412	protein cS23
Q9LUJ3	Protein At3g22680
Q9FXT4	Melibiase
Q9ZGC1	Reductase homolog
Q962V9	Platelet inhibitor
A3LNL5	RAI1
Q7A827	Heme degrading monooxygenase 2
Q9SD76	Starch phosphorylase H
Q86SX6	glutaredoxin related protein 5
A7V5T8	Uncharacterized protein
Q8HYY9	Osteocalcin
Q8TBB1	E3 ubiquitin protein ligase LNX
P80403	Alpha amylase inhibitor AAI
P80401	Pseudoazurin
O29428	CONSERVED HYPOTHETICAL PROTEIN
Q23BV5	60S ribosomal protein L22
Q81RP3	NH3 dependent NAD+ synthetase
P50876	KIAA0161 protein
O29421	Protein pelota homolog
Q8ZKJ0	putative cytoplasmic protein
Q42578	Peroxidase 53
O29424	ferritin putative
A0A223GEC9	CvAA9A
P01849	T cell receptor alpha chain
P01848	T cell receptor alpha chain
P69933	DnaA regulatory inactivator Hda
Q57812	Hypothetical protein MJ0366
P01843	Ig lambda 1 chain C region
Q57816	Cell division protein FtsZ 1
Q57817	Protein translocase subunit SecE
Q57815	DNA topoisomerase VI A subunit
Q8UIR1	UPF0339 protein Atu0232
Q54HC2	Myosin Light Chain MlcC
Q88A25	Bacteriocin
Q53122	Rieske dioxygenase
Q46TN2	Putative citrate lyase
Q7NYG4	Beta lactamase
Q7NYG6	Hydrophilic protein virA protein
P29547	Elongation factor 1 gamma 1
O80448	HEVER like protein
H9TUK6	PHYTASE
Q9CM00	Gamma GCS GS
Q9XCL6	Glutamate tRNA ligase
Q54VN6	60S ribosomal protein L24
D7UWR6	PfkB family carbohydrate kinase
Q6CSS8	KLLA0C18216p
D6PT85	Polymerase SUBUNIT PA
P9WJL3	Meso A2pm adding enzyme
Q9QXL2	Kinesin like protein KIF21A
P0ACB0	PROTEIN DnaB helicase
P0ACB2	Porphobilinogen synthase
Q5JIZ8	Phosphopantothenate synthetase
Q5JIZ5	Tk SP
Q9JHD1	P300 CBP associated factor
P0ADV1	protein yhbN
O19895	Photosystem II QB protein
O95365	TTF I interacting peptide 21
O95363	Phenylalanyl tRNA synthetase
J7M1H5	CRISPR associated protein Cas1
Q9Y624	Junctional adhesion molecule 1
Q9CW03	Mad member interacting protein 1
O15296	Arachidonate 15 lipoxygenase B
P29448	Thioredoxin H1
Q12968	NFATx
Q12967	RALGEF RBD
B4EDY7	Uncharacterized protein
P10824#P21279	P10824:
Q188R0	PTS system IIabc component
Q12962	TAF10 K189me1 peptide
P62840	Ubiquitin protein ligase D2
P62841	40S ribosomal protein S15
Q9NJG9	Suppressor 12 of zeste protein
Q01159	GTP RNA guanylyltransferase
P62844	40S ribosomal protein S15
Q3HLI8	Nucleoprotein
P28311	Defensin related cryptdin 4
P28313	Peroxidase
P28314	Peroxidase
E9BFL1	ribosomal protein L5
P28316	HEMOGLOBIN OXY
Q183N4	Cell wall binding protein cwp8
Q6FF51	UPF0345 protein ACIAD0356
P9WKF5	ATP:AMP phosphotransferase
P9WFB9	Toxin VapC2
Q6FF54	hypothetical protein ACIAD0353
Q0SK70	Haloacid dehalogenase
Q7XZV5	Ribonuclease
P0ABD3	Cytochrome b 1
G0YYQ5	LGP2
P0ABD4	Cytochrome b 1
P0ABD8	acetyl CoA carboxylase
P51834	Chromosome partition protein Smc
Q9C5J3	protein At5g25060
P02019	Hemoglobin alpha 1 chain
B4RKU9	Transketolase
O95944	NK cell activating receptor
Q39129	Sulfurtransferase 16
Q8SS11	GTPase Ran homolog
Q9AR86	Isoprene synthase
P60568	Interleukin 2
Q2A612	Acid phosphatase
C3SQV2	50S ribosomal protein L23
P10041	Neurogenic locus protein delta
P10040	Protein crumbs
Q786F2	Hemagglutinin glycoprotein
C3SQV7	50S ribosomal protein L2
Q07879	Autophagy related protein 10
Q8NFU7	Methylcytosine dioxygenase TET1
Q6UWP2	ARPG836
Q72I53	S adenosylmethionine synthase
P43616	Cys Gly metallodipeptidase DUG1
P46222	60S ribosomal protein L11
P46223	60S ribosomal protein L7a
P0A401	PSI F
D7GXG4	Beta agarase D
P0A403	PSI M
P0A405	PsaA
D7GXG0	Beta porphyranase A
P0A407	PsaB
P72178	SULFITE DEHYDROGENASE
Q9H4T2	Zinc finger protein 392
A6T758	putative CoA binding protein
P52566	Rho GDI beta
P52564	MAPK ERK kinase 6
P52565	Rho GDP dissociation inhibitor 1
Q9KPK1	Oxaloacetate decarboxylase
Q93I65	CofJ
Q9HAT8	protein pellino homolog 2
Q9KPK8	Uracil DNA glycosylase
Q1ELT9	M zodatoxin Lt1a
Q9NAV8	DEHALOPEROXIDASE A
Q9X287	Formate tetrahydrofolate ligase
B4RMG0	Nucleoside diphosphate kinase
Q9NAV7	Dehaloperoxidase B
B2HN47	Acyl CoA thioesterase II TesB2
P68919	ribosomal protein L25
P0AEX9#Q8IEB2	MMBP
O80944	Aldo keto reductase
P53041#Q16543	Protein phosphatase T
P63034	Cytohesin 2
P0AEY0#Q8WR62	MMBP
W8TUC9	30S ribosomal protein S5
P10955	Sensor protein FixL
Q87X74	Formyl FH4 hydrolase
C3SIC7	50S ribosomal protein L11
D4QF72	Major virion protein
Q7T7N6	human coxsackievirus A21
A5JGM8	Botulinum neurotoxin D C protein
O43818	RRP9 homolog
P05095#P08799	P08799:
Q5L811	Uncharacterized cupin protein
Q8X9Y5	Cell division protein FtsQ
Q8SPQ0	Mammary gland protein 40
Q12MY8	Peptidase M14 carboxypeptidase A
O66640	SsrA binding protein
O66647	Serine tRNA ligase
P0CS12	Thymidylate synthase
P61586#Q8WWN8	P61586:
P0C6D3	Isochorismate lyase ArCP
P03950#P61823	RNase A
Q9Z621	CigR Protein
O93724	Superoxide dismutase
Q4VE97	HIV 1 PROTEASE
Q12146	Partner of Sld five 3
Q8A574	Uncharacterized protein
O80358	Protein MutM homolog 1
P61765	Syntaxin binding protein 1
Q652L6	Os09g0567300 protein
P61769	beta2 microglobulin
P11607	Calcium pump 2
X5DSL3	MCherry fluorescent protein
Q03148	PDX1 homolog 1
P02930	Outer membrane factor TolC
Q03141	MPK 10
P11609	CD1d1 Antigen
P16466	Hemolysin
O04298	Major allergen Dau c 1
F0ZBA6	Putative uncharacterized protein
P16469	Arachidonate 15 lipoxygenase
Q9KU16	hypothetical protein VC0714
Q1KHG8	Hemagglutinin
P62070	Ras related protein R Ras2
Q830N7	Lipoate protein ligase
P12554	Hemagglutinin neuraminidase
P12558	Hemagglutinin neuraminidase
B1P0S1	Antifreeze protein Maxi
F7BJB9	Nuclear matrix protein 2
Q8JKE8	ECHOVIRUS 11 COAT PROTEIN VP4
Q7SI99	Beta ketoacyl ACP synthase III
Q7SI98	endo 14 Beta D xylanase
I6BD60	TYPE 1 FIMBIRAL ADHESIN FIMH
P09814	Genome polyprotein
Q7SI97	L lactate dehydrogenase
O56139	Capsid protein VP1
P0C0V0	Heat shock protein DegP
Q9DCX8	Iodotyrosine dehalogenase 1
P56459	Aspartate tRNAAsp Asn ligase
P0C0V9	Hemagglutinin esterase
P0C0V8	40S ribosomal protein rpS21 S21e
Q06643	Tumor necrosis factor C
P0AE18	Peptidase M
P78953	Division mal foutue 1 protein
Q0JR25	RBTI
P0AE12	AMP nucleosidase
O34340	Beta ketoacyl ACP synthase II
P83409	Fatty acid binding protein 1
Q6CW78	KLLA0B06182p
Q8VBX4	Langerin
Q8VBX6	Multiple PDZ domain protein
P83407	Neurotoxin BmBKTx1
Q9P2R6	Atrophin 1 related protein
P51151	Ras related protein Rab 9A
P51157	Ras related protein Rab 28
Q00499	Cytochrome c 550
Q6RJQ3	Protein UL141
P04637#P45481	Phosphoprotein p53
Q9SSA5	Rotamase CYP38
Q9RQ16	UPF0301 protein AlgH
Q873X9	Chitinase
P0A6Y5	33 kDa chaperonin
Q9YEA1	Malate dehydrogenase
P17737	Antifungal protein
P17739	Outer surface protein B
Q8N8U2	Chromodomain Y like protein 2
P0A6Y8	Chaperone protein DnaK
O22443	SEED COAT Peroxidase
Q13796	Protein Shroom2
S4R2P9	protein Slc8a3
C8WSG3	Squalene synthase HpnC
C8WTQ0	Uncharacterized protein
P29160	50S ribosomal protein L30e
P71469	PlnF
P29166	CpI
Q00723	Pre mRNA splicing factor 38
P71460	PlnK
P23141	Retinyl ester hydrolase
Q9Y3L3	P0
O80164	Gp45
B3RHV0	eS1 yeast S1
Q9UM54	Unconventional myosin 6
P55818	Bifunctional protein MdtA
Q99816	ESCRT I complex subunit TSG101
Q86V81	Aly REF export factor
A0A0M3KKT1	Tubulin alpha 1A chain
A0A0M3KKT2	Tubulin beta chain
H0Y4R8	Nuclear autoantigen Sp 100
O33374	RegF protein
Q62230	PROTEIN Sialoadhesin
P08078	Aminocyclitol amidinotransferase
Q62234	Myomesin 1
P08074	Lung carbonyl reductase
Q04771	Activin receptor type 1
Q8QGH3	MN cadherin
O34627	Blue light photoreceptor
Q2YYK8	50S ribosomal protein L24
Q2YYK9	50S ribosomal protein L5
Q9FBS9	Putative transferase
Q2YYK6	30S ribosomal protein S17
Q2YYK7	50S ribosomal protein L14
A0A045H5T7	50S ribosomal protein L2
G1SZ12	eL14
Q5UB51	Serine protease subunit NS2B
Q9RPE9	Response regulator ChrA
Q84HI7	DYNE7
O34627#P23222	Phototropin homolog
Q84HI8	DYNE8
Q9KJ82	plasmid partition protein ParG
Q09260	Abnormal cell lineage protein 3
Q9KJ88	Hpy188I
O68233	PF 32 protein
Q8I0V4	Endoplasmin homolog
P22234	Multifunctional protein ADE2
P76116	Uncharacterized protein YncE
Q6UWW0	Lipocalin 15
Q9RE09	HPr kinase phosphorylase
P26927	Macrophage stimulating protein
Q73369	R ORF protein
Q8Z077	Alr0221 protein
O75689	Centaurin alpha 1
O75688	Protein phosphatase 1B
Q9H081	Protein MIS12 homolog
Q8IBI3	Proteasome subunit alpha type
P27348	14 3 3 protein tau
Q9X1R4	Protein translocase subunit SecA
V5VBC5	Elongation factor P
D0BWK6	Predicted protein
Q83B44	Enolase
Q83B40	Spermidine N1 acetyltransferase
P26697	GST class alpha
Q9A753	Bactofilin A
Q6W6X6	ACETOACETYL COA THIOLASE
A2FWA1	Ribosomal protein L34e putative
Q8U0M8	30S ribosomal protein S7P
Q7DAM2	IgG degrading protease
G0S1R8	SRX domain
Q8NBT2#Q9BZD4	Q9BZD4:
Q6N882	Specialized acyl carrier protein
D9J034	Protein StWhy2
A6L0Y5	Phenylacetate coenzyme A ligase
Q96Y14	HEXOKINASE
Q82SE2	CBS domain
B9U139	Apyrase
P56849	50S ribosomal protein L33 1
Q7AP55	Lmo2184 protein
Q97UQ9	First ORF in transposon ISC1904
E0RXM0	Endo 14 beta glucanase Cel5C
Q5V8Z9	Polymerase acidic protein
Q9LBR2	NTNHA
Q61207	Prosaposin
P23694	Serralysin
P36241	60S ribosomal protein L19
F9UMW5	Putative cell surface hydrolase
B1MB31	Cytidine monophosphate kinase
Q8ZNF5	dCTP diphosphatase
Q8ZNF3	ArnB aminotransferase
A4SXU0	Benzoylformate Decarboxylase
P80242	General stress protein 17o
P80244	Caseinolytic protease
P80245	Cytotoxin 6
Q8ZNF9	L rhamnonate dehydratase
P37595	L ASPARAGINASE precursor
Q5NU42	Carboxylesterase
P23435	Cerebellin 1
Q9WY26	Radical SAM protein
Q9ZFG1	PilQ
B5DCA0	METALLO BETA LACTAMASE AIM 1
P08017	14 alpha D glucan glucohydrolase
Q4CQ63	40S ribosomal protein SA
Q7KLE5	AMPHIPHYSIN
Q3Y6N6	NheA
P06787#P23287	P23287:
A0A075B5G8	lactate dehydrogenase
Q64329	Lymphocyte antigen 49c
Q9HVP2	hypothetical protein PA4535
Q9HVP3	Uncharacterized protein PA4534
P47863	Aquaporin 4
P47865	Aquaporin 1
P0AFV4	Lipoprotein Spr
B9W5G6	fragaceatoxin C
Q96J02	NFE2 associated polypeptide 1
Q8U1T8	Hypothetical protein PF1117
H9CTH3	Ubiquitin conjugating enzyme
Q51162	FE REGULATED PROTEIN B
Q8U1T0	CRISPR system Cmr subunit Cmr5
O67082	Ribonuclease 3
P40486	Protein SHQ1
P40484	MPS1 binder 1
P40485	TORC2 effector protein SLM1
P40482	Abnormal nuclear morphology 1
Q9V0Y8	snRNP Sm like protein
Q1W6B1	CORIOLOPSIS GALLICA LACCASE
O65986	Exoglucanase S
Q8ISF8	Red fluorescent protein FP611
B1R775	surface anchored protein
Q7X2G7	GilR oxidase
Q9RPA7#Q9ZGC0	null#null
Q0GYP7	VP3
Q9BYI3	Hyccin
P27600	G alpha i 12
Q76BV4	Alpha L arabinofuranosidase
O24915	MTA SAH nucleosidase
P09055#Q8CIB5	Kindlin 2
B1Q236	Synaptogenesis protein syg 1
Q6D6K1	Phage integrase
Q6WRY3	Serine racemase
Q9HYF1	Putative polyphosphate kinase 2
A8K7J6	mL52
P02259	H5
Q6WRY5	D alanylalanine synthetase
Q6WRY9	Transcriptional regulator
P0DOY6	30S ribosomal protein S14 type Z
P0DOY7	30S ribosomal protein S17
P01789	Ig heavy chain V region M603
P0DOY3	PGR124 LIGHT chain
P04361	APP K 49
Q3SAW3	Beta lactamase
P01783	Ig heavy chain V region MOPC 21
Q9P270	SLAIN motif containing protein 2
P0DOY8	50S ribosomal protein L6
P0DOY9	ribosomal protein S8
A0A086SY89	Beta xylanase
P02787	Siderophilin
P02786	p90
P02784	Seminal FLUID protein PDC 109
P02789	Ovotransferrin
P02788	Lactotransferrin N2 FRAGMENT
O34661	Ketopantoate reductase
O34664	Thiamine pyrophosphokinase
O34667	AI 2 synthesis protein
P07550	Beta 2 adrenergic receptor
P07552	Complex III subunit XI
Q830S9	UPF0213 protein EF_2693
P46422	24 kDa auxin binding protein
P04090	Relaxin B chain
A0PZS2	Nitroreductase family protein
P46427	GST class pi
P09064	eIF2 beta
P53762	Hypoxia inducible factor 1 beta
G1T040	eL42
P00781	Subtilisin DY
P00780	Subtilisin Carlsberg TYPE VIII
P00782	Subtilisin BPN' CRB S3
P00785	Actinidain
P00784	pro Papain
P00787	Cathepsin B
Q3J170	Reaction center protein H chain
P05618	Cyclodextrin glucanotransferase
H6UQI0	Beta lactamase CTX M 14
Q66QC3	Hemagglutinin
Q9NRR4	Protein Drosha
